type,id,action,message,ack,direction,description,datatype
auth,login,Login,A|REQ|loginData+,,Client,Sent to authenticate user,Object
auth,loginsuccess,Login Success,A|A+,,Server,Recieved when login passes,
auth,invalidlogin,Invalid Login,A|E|INVALID_AUTH_DATA|unknown user+,,Server,Recieved if login fails,String
auth,toomanyauthattempts,Too many login attempts,A|E|TOO_MANY_AUTH_ATTEMPTS+,,Server,Recieved if login fails more than the maximum allowed attempts and closes the client connection,
event,listen,Listen,E|L|event\/.*+,E|A|L|event\/.*+,Client,Send when listening to event matching regex,String
event,unlisten,Unlisten,E|UL|event\/.*+,E|A|UL|event\/.*+,Client,Send when no longer interested in listening to event,String
event,subscribe,Susbcribe,E|S|eventName+,E|A|S|eventName+,Client,Send to subscribe to event,String
event,unsubscribe,Unsubscribe,E|US|eventName+,E|A|US|eventName+,Client,Send to unsubscribe to event,String
event,publish,Publish,E|EVT|eventName|JSON+,E|A|EVT|eventName+,Client/Server,Recieved/Sent when an event occurs,Object
event,listenmatch,Listen Match,E|SP|event\/.*|event/A+,,Server,Recieved when a listened to regex is has a single intrested client,String
event,listenunmatch,Listen UnMatched,E|SR|event\/.*|event/A+,,,Recieved when a listened to regex no longer has any interested clients,String
record,listen,Listen,R|L|recordPrefix\/.*+,R|A|L|recordPrefix\/.*+,Client,,String
record,unlisten,Unlisten,R|UL|recordPrefix\/.*+,R|A|UL|recordPrefix\/.*+,Client,,String
record,listenmatch,Listen Match,R|SP|recordPrefix\/.*|/A+,,Server,Recieved when a listened to regex is matched,String
record,listenunmatch,Listen UnMatched,R|SR|RecordPrefix\/.*|recordPrefix/recordName+,,Server,Recieved when a listened to regex no longer has any interested clients,String
record,create,Read/Create,R|CR|recordName+,R|A|CR|recordName+,Client,"Send to request the record data, automatically subscribing to all changes and creates record if it does not exist",String
record,update,Update Entire Record,R|U|recordName|versionNumber|JSON+,,Client,Send/Recieved when the entire record data is replaced with a new value,Object
record,patch,Patch Record,R|P|recordName|versionNumber|path|value+,,Client,Send/Recieved when the record is partially changed,Object
record,delete,Delete Record,R|D|recordName+,R|A|D|recordName+,Client,Send/Recieved when an object is deleted. This leads to all clients discarding the client since updates are no longer available,String
record,recieveread,Receive Record Read,R|R|recordName|versionNumber|JSON,,Server,"When requesting a record you will get a read which is the current state of the record, similar to the update data",Object
record,cachetimeout,Cache Read Timeout,R|E|CACHE_RETRIEVAL_TIMEOUT|recordName+,,Server,If the object can't be read from the cache within a certain time the server will respond with this error,String
record,databasetimeout,Database Read Timeout,R|E|STORAGE_RETRIEVAL_TIMEOUT|recordName+,,Server,If the object can't be read from storage within a certain time the server will respond with this error,String
rpc,register,Register as provider,P|S|rpcName+,P|A|S|rpcName+,Client,Send when client can recieve RPC events,String
rpc,unregister,Unregister as provider,P|US|rpcName+,P|A|US|rpcName+,Client,Send when client no longer wishes to recieve RPC events,String
rpc,send,Send RPC request,P|REQ|rpcName|rpcID|Arguments+,P|A|REQ|rpcName|rpcID+,Client/Server,Send/Recieve when RPC requested,Object
rpc,reject,Reject RPC request,P|REJ|rpcName|rpcID+,,Client,Send if client does not want to execute RPC,
rpc,error,Error RPC request,P|E|ErrorMessage|rpcName|123+,,Client/Server,Send/Recieved if an error occurs while attempting to execute rpc,
rpc,success,Respond to RPC request,P|RES|rpcName|rpcID|Result+,,Client/Server,Send/Recieve when RPC is executed succesfully with the resulting data,Object
presence,query,Query,U|Q|Q+,,Client,Sent to query for connected clients,
presence,queryresponse,Query Response,U|Q|user1|user2+,,Server,Received when querying for connected clients,Array
presence,subscribe,Presence subscribe,U|S|S+,U|A|S|U+,Client,Sent when subscribing to presence events,
presence,unsubscribe,Presence unsubscribe,U|US|US+,U|A|US|U+,Client,Sent when unsubscribing to presence events,
presence,join,Presence join,U|PNJ|username+,,Server,Sent when a user logs in,String
presence,join,Presence leave,U|PNL|username+,,Server,Sent when a user logs out,String